locality_id,locality_name,schools
9732,BENTLEIGH,4
6653,RUPANYUP,1
9840,CARLISLE RIVER,1
10487,KINGLAKE,1
7090,VERMONT SOUTH,5
7021,COBURG,10
9330,SEBASTOPOL,4
9607,TORRUMBARRY,1
7074,SHERBROOKE,1
6966,CHADSTONE,2
6948,LONG GULLY,1
10266,RINGWOOD,7
9830,FRENCH ISLAND,1
8334,KOO WEE RUP,3
10382,BELLBRAE,1
9697,STRATHMORE,4
6520,DALYSTON,1
7644,NEW GISBORNE,3
9234,TARRINGTON,1
9231,TULLAMARINE,1
10370,DEVON MEADOWS,1
10274,SYDENHAM,3
6881,KENSINGTON,3
9226,KEILOR EAST,4
10126,BALWYN NORTH,7
6813,ALBERT PARK,2
10318,MOOROOLBARK,10
10028,FLOWERDALE,1
9082,BRIGHT,1
9037,MONTMORENCY,4
10195,BURNSIDE HEIGHTS,1
7277,BADGER CREEK,1
9795,AIREYS INLET,1
7498,LILYDALE,7
8003,PEARCEDALE,1
8307,TRAFALGAR,3
6896,CARNEGIE,3
9915,MARONG,1
8073,MUCKLEFORD,1
10137,JINDIVICK,1
6932,SANDRINGHAM,4
9575,BANDIANA,1
8840,SOUTHBANK,1
8684,HEATHCOTE,2
8510,WAUBRA,1
9636,ALBERTON,1
9952,WILLOWMAVIN,1
9093,CARISBROOK,1
6604,SURREY HILLS,4
9963,EMERALD,3
9178,DIGGERS REST,1
7700,TANGAMBALANGA,1
9890,LOCKINGTON,1
8236,LAL LAL,1
9649,DEDERANG,1
10308,KONGWAK,1
10213,MURCHISON,1
10262,CLYDE NORTH,3
7031,NORTH BENDIGO,2
6728,MORTLAKE,2
9720,TOOBORAC,1
7213,DON VALLEY,1
6863,CROYDON HILLS,3
6888,HUGHESDALE,3
10499,BROOKFIELD,1
8055,WOORINEN SOUTH,1
8358,NULLAWARRE,1
7951,DRUMMOND,1
8692,MYRRHEE,1
7659,BUNGAREE,1
7462,ST LEONARDS,1
7810,NYAH WEST,1
9201,SUNSHINE NORTH,5
10283,TALLANGATTA,3
8801,SMYTHESDALE,1
8748,EDI UPPER,1
8679,PUCKAPUNYAL,1
6830,ASHWOOD,4
9051,INDIGO VALLEY,1
7305,CLAYTON SOUTH,3
9772,QUEENSCLIFF,2
6908,SOUTH YARRA,5
7755,LANGLEY,1
7370,TRARALGON SOUTH,1
9896,GOROKE,1
8049,HARSTON,1
10008,BRIAR HILL,2
10272,HILLSIDE,2
8710,KATAMATITE,1
6823,CHELSEA,2
10153,GREENSBOROUGH,8
9321,MARYBOROUGH,3
9315,CRANBOURNE,7
7786,VENTNOR,1
8181,TOOLAMBA,1
10380,WHITTINGTON,2
7390,SPRING GULLY,1
6886,EDITHVALE,1
9969,BRIGHTON EAST,4
7992,DIXONS CREEK,1
9477,GROVEDALE,5
8766,LABERTOUCHE,1
8589,RAYWOOD,1
10084,CLIFTON SPRINGS,1
10343,TEMPY,1
10180,TAYLORS HILL,2
9659,MOE,5
6427,YAAPEET,1
10299,STRATHMERTON,1
6599,KEYSBOROUGH,6
6708,WEDDERBURN,1
8001,BONEO,1
7910,YARRA GLEN,1
8884,SHELFORD,1
6676,OMEO,1
9979,PRESTON,11
9942,HOPPERS CROSSING,10
10035,ANAKIE,1
